Data No,Time,R1,R2,R3,R4,SG5_1,SG5_2,SG5_3,R6,R7,SG8_1,SG8_2,SG8_3,LVDT,Force[N]
233,4.66E-02,1,1,1,1,-347.32,-124.82,105.28,1,1,-347.32,-124.82,105.28,0.0001,-0.00034
234,4.68E-02,1,1,1,1,-300.1,-107.76,91.015,1,1,-300.1,-107.76,91.015,0.0001,-0.00034
235,4.70E-02,1,1,1,1,-260.61,-93.388,79.249,1,1,-260.61,-93.388,79.249,0.0001,-0.00034
236,4.72E-02,1,1,1,1,-242.31,-86.9,73.47,1,1,-242.31,-86.9,73.47,0.0001,-0.00034
237,4.74E-02,1,1,1,1,-238.07,-85.499,71.639,1,1,-238.07,-85.499,71.639,0.0001,-0.00034
238,4.76E-02,1,1,1,1,-224.88,-80.483,67.459,1,1,-224.88,-80.483,67.459,0.0001,-0.00034
239,4.78E-02,1,1,1,1,-203.61,-72.414,60.907,1,1,-203.61,-72.414,60.907,0.0001,-0.00034
240,4.80E-02,1,1,1,1,-175.79,-62.324,52.159,1,1,-175.79,-62.324,52.159,0.0001,-0.00034
241,4.82E-02,1,1,1,1,-122.28,-43.313,36.026,1,1,-122.28,-43.313,36.026,0.0001,-0.00034
242,4.84E-02,1,1,1,1,-43.006,-15.169,12.53,1,1,-43.006,-15.169,12.53,0.0001,-0.00034
243,4.86E-02,1,1,1,1,41.002,14.65,-12.595,1,1,41.002,14.65,-12.595,0.0001,-0.00034
244,4.88E-02,1,1,1,1,128.89,46.038,-38.892,1,1,128.89,46.038,-38.892,0.0001,-0.00034
245,4.90E-02,1,1,1,1,223.28,79.9,-66.817,1,1,223.28,79.9,-66.817,0.0001,-0.00034
246,4.92E-02,1,1,1,1,303.09,108.3,-90.569,1,1,303.09,108.3,-90.569,0.0001,-0.00034
247,4.94E-02,1,1,1,1,358.05,127.6,-107.25,1,1,358.05,127.6,-107.25,0.0001,-0.00034
248,4.96E-02,1,1,1,1,399.59,142.43,-119.76,1,1,399.59,142.43,-119.76,0.0001,-0.00034
249,4.98E-02,1,1,1,1,424.4,151.64,-127.27,1,1,424.4,151.64,-127.27,0.0001,-0.00034
250,5.00E-02,1,1,1,1,426.32,152.64,-128.31,1,1,426.32,152.64,-128.31,0.0001,-0.00034
251,5.02E-02,1,1,1,1,425.15,152.39,-128.37,1,1,425.15,152.39,-128.37,0.0001,-0.00034
252,5.04E-02,1,1,1,1,435.28,156.07,-131.51,1,1,435.28,156.07,-131.51,0.0001,-0.00034
253,5.06E-02,1,1,1,1,449.05,160.93,-135.85,1,1,449.05,160.93,-135.85,0.0001,-0.00034
254,5.08E-02,1,1,1,1,472.05,169.18,-142.99,1,1,472.05,169.18,-142.99,0.0001,-0.00034
255,5.10E-02,1,1,1,1,517.75,185.72,-156.51,1,1,517.75,185.72,-156.51,0.0001,-0.00034
256,5.12E-02,1,1,1,1,574.55,206.04,-173.26,1,1,574.55,206.04,-173.26,0.0001,-0.00034
257,5.14E-02,1,1,1,1,628.39,224.9,-189.35,1,1,628.39,224.9,-189.35,0.0001,-0.00034
258,5.16E-02,1,1,1,1,683.08,244.11,-205.52,1,1,683.08,244.11,-205.52,0.0001,-0.00034
259,5.18E-02,1,1,1,1,729.99,260.85,-219.23,1,1,729.99,260.85,-219.23,0.0001,-0.00034
260,5.20E-02,1,1,1,1,749.98,268.08,-225.23,1,1,749.98,268.08,-225.23,0.0001,-0.00034
261,5.22E-02,1,1,1,1,747.49,267.28,-224.64,1,1,747.49,267.28,-224.64,0.0001,-0.00034
262,5.24E-02,1,1,1,1,733.04,262.19,-220.29,1,1,733.04,262.19,-220.29,0.0001,-0.00034
263,5.26E-02,1,1,1,1,699.48,250.16,-210.42,1,1,699.48,250.16,-210.42,0.0001,-0.00034
264,5.28E-02,1,1,1,1,650.73,232.76,-196.23,1,1,650.73,232.76,-196.23,0.0001,-0.00034
265,5.30E-02,1,1,1,1,607.52,217.63,-183.43,1,1,607.52,217.63,-183.43,0.0001,-0.00034
266,5.32E-02,1,1,1,1,573.55,205.81,-173.25,1,1,573.55,205.81,-173.25,0.0001,-0.00034
267,5.34E-02,1,1,1,1,544.51,195.36,-164.69,1,1,544.51,195.36,-164.69,0.0001,-0.00034
268,5.36E-02,1,1,1,1,531.5,190.44,-160.75,1,1,531.5,190.44,-160.75,0.0001,-0.00034
269,5.38E-02,1,1,1,1,535.9,191.87,-161.69,1,1,535.9,191.87,-161.69,0.0001,-0.00034
270,5.40E-02,1,1,1,1,539.74,193.16,-162.59,1,1,539.74,193.16,-162.59,0.0001,-0.00034
271,5.42E-02,1,1,1,1,538.17,192.54,-161.98,1,1,538.17,192.54,-161.98,0.0001,-0.00034
272,5.44E-02,1,1,1,1,534.82,191.28,-160.61,1,1,534.82,191.28,-160.61,0.0001,-0.00034
273,5.46E-02,1,1,1,1,515.69,184.24,-154.62,1,1,515.69,184.24,-154.62,0.0001,-0.00034
274,5.48E-02,1,1,1,1,470.88,168,-141.29,1,1,470.88,168,-141.29,0.0001,-0.00034
275,5.50E-02,1,1,1,1,411.33,146.81,-123.48,1,1,411.33,146.81,-123.48,0.0001,-0.00034
276,5.52E-02,1,1,1,1,341.07,122.04,-102.4,1,1,341.07,122.04,-102.4,0.0001,-0.00034
277,5.54E-02,1,1,1,1,256.75,92.075,-77.385,1,1,256.75,92.075,-77.385,0.0001,-0.00034
278,5.56E-02,1,1,1,1,172.78,62.025,-52.47,1,1,172.78,62.025,-52.47,0.0001,-0.00034
279,5.58E-02,1,1,1,1,103.51,37.253,-31.664,1,1,103.51,37.253,-31.664,0.0001,-0.00034
280,5.60E-02,1,1,1,1,43.878,15.959,-13.758,1,1,43.878,15.959,-13.758,0.0001,-0.00034
281,5.62E-02,1,1,1,1,-5.5379,-1.676,1.028,1,1,-5.5379,-1.676,1.028,0.0001,-0.00034
282,5.64E-02,1,1,1,1,-34.725,-12.08,10.055,1,1,-34.725,-12.08,10.055,0.0001,-0.00034
283,5.66E-02,1,1,1,1,-51.862,-18.371,15.595,1,1,-51.862,-18.371,15.595,0.0001,-0.00034
284,5.68E-02,1,1,1,1,-72.025,-25.961,21.831,1,1,-72.025,-25.961,21.831,0.0001,-0.00034
285,5.70E-02,1,1,1,1,-94.525,-34.234,28.805,1,1,-94.525,-34.234,28.805,0.0001,-0.00034
286,5.72E-02,1,1,1,1,-122.37,-44.112,37.492,1,1,-122.37,-44.112,37.492,0.0001,-0.00034
287,5.74E-02,1,1,1,1,-168.95,-60.672,51.517,1,1,-168.95,-60.672,51.517,0.0001,-0.00034
288,5.76E-02,1,1,1,1,-231.65,-83.115,70.174,1,1,-231.65,-83.115,70.174,0.0001,-0.00034
289,5.78E-02,1,1,1,1,-298.6,-107.05,90.231,1,1,-298.6,-107.05,90.231,0.0001,-0.00034
290,5.80E-02,1,1,1,1,-371.55,-133.08,112.01,1,1,-371.55,-133.08,112.01,0.0001,-0.00034
291,5.82E-02,1,1,1,1,-448.24,-160.36,134.7,1,1,-448.24,-160.36,134.7,0.0001,-0.00034
292,5.84E-02,1,1,1,1,-511.55,-182.75,153.57,1,1,-511.55,-182.75,153.57,0.0001,-0.00034
293,5.86E-02,1,1,1,1,-555.78,-198.42,166.92,1,1,-555.78,-198.42,166.92,0.0001,-0.00034
294,5.88E-02,1,1,1,1,-587.04,-209.77,176.28,1,1,-587.04,-209.77,176.28,0.0001,-0.00034
295,5.90E-02,1,1,1,1,-600.91,-214.98,180.52,1,1,-600.91,-214.98,180.52,0.0001,-0.00034
296,5.92E-02,1,1,1,1,-595.84,-213.22,179.35,1,1,-595.84,-213.22,179.35,0.0001,-0.00034
297,5.94E-02,1,1,1,1,-586.41,-209.86,176.79,1,1,-586.41,-209.86,176.79,0.0001,-0.00034
298,5.96E-02,1,1,1,1,-580.04,-207.7,174.99,1,1,-580.04,-207.7,174.99,0.0001,-0.00034
299,5.98E-02,1,1,1,1,-573.68,-205.57,173.29,1,1,-573.68,-205.57,173.29,0.0001,-0.00034
300,6.00E-02,1,1,1,1,-575.76,-206.44,174.07,1,1,-575.76,-206.44,174.07,0.0001,-0.00034
301,6.02E-02,1,1,1,1,-594.7,-213.24,179.59,1,1,-594.7,-213.24,179.59,0.0001,-0.00034
302,6.04E-02,1,1,1,1,-620.99,-222.44,187.3,1,1,-620.99,-222.44,187.3,0.0001,-0.00034
303,6.06E-02,1,1,1,1,-646.81,-231.39,194.95,1,1,-646.81,-231.39,194.95,0.0001,-0.00034
304,6.08E-02,1,1,1,1,-673.89,-240.98,202.82,1,1,-673.89,-240.98,202.82,0.0001,-0.00034
305,6.10E-02,1,1,1,1,-693.27,-247.97,208.34,1,1,-693.27,-247.97,208.34,0.0001,-0.00034
306,6.12E-02,1,1,1,1,-692.78,-247.75,208.16,1,1,-692.78,-247.75,208.16,0.0001,-0.00034
307,6.14E-02,1,1,1,1,-675.96,-241.62,203.15,1,1,-675.96,-241.62,203.15,0.0001,-0.00034
308,6.16E-02,1,1,1,1,-646.33,-231.01,194.22,1,1,-646.33,-231.01,194.22,0.0001,-0.00034
309,6.18E-02,1,1,1,1,-598.5,-214,180.03,1,1,-598.5,-214,180.03,0.0001,-0.00034
310,6.20E-02,1,1,1,1,-538.96,-192.9,162.46,1,1,-538.96,-192.9,162.46,0.0001,-0.00034
311,6.22E-02,1,1,1,1,-482.54,-172.96,145.63,1,1,-482.54,-172.96,145.63,0.0001,-0.00034
312,6.24E-02,1,1,1,1,-431.07,-154.63,130.23,1,1,-431.07,-154.63,130.23,0.0001,-0.00034
313,6.26E-02,1,1,1,1,-384.41,-137.8,116.35,1,1,-384.41,-137.8,116.35,0.0001,-0.00034
314,6.28E-02,1,1,1,1,-351.48,-125.95,106.4,1,1,-351.48,-125.95,106.4,0.0001,-0.00034
315,6.30E-02,1,1,1,1,-331.58,-118.87,100.14,1,1,-331.58,-118.87,100.14,0.0001,-0.00034
316,6.32E-02,1,1,1,1,-313.64,-112.4,94.57,1,1,-313.64,-112.4,94.57,0.0001,-0.00034
317,6.34E-02,1,1,1,1,-296.05,-105.93,89.107,1,1,-296.05,-105.93,89.107,0.0001,-0.00034
318,6.36E-02,1,1,1,1,-278.04,-99.291,83.375,1,1,-278.04,-99.291,83.375,0.0001,-0.00034
319,6.38E-02,1,1,1,1,-247.31,-88.156,73.961,1,1,-247.31,-88.156,73.961,0.0001,-0.00034
320,6.40E-02,1,1,1,1,-198.67,-70.742,59.39,1,1,-198.67,-70.742,59.39,0.0001,-0.00034
321,6.42E-02,1,1,1,1,-139.47,-49.729,41.612,1,1,-139.47,-49.729,41.612,0.0001,-0.00034
322,6.44E-02,1,1,1,1,-70.566,-25.238,20.95,1,1,-70.566,-25.238,20.95,0.0001,-0.00034
323,6.46E-02,1,1,1,1,8.7858,3.1516,-2.6429,1,1,8.7858,3.1516,-2.6429,0.0001,-0.00034
324,6.48E-02,1,1,1,1,86.994,31.121,-25.929,1,1,86.994,31.121,-25.929,0.0001,-0.00034
325,6.50E-02,1,1,1,1,155.22,55.375,-46.401,1,1,155.22,55.375,-46.401,0.0001,-0.00034
326,6.52E-02,1,1,1,1,215.39,76.757,-64.42,1,1,215.39,76.757,-64.42,0.0001,-0.00034
327,6.54E-02,1,1,1,1,263.45,93.948,-78.824,1,1,263.45,93.948,-78.824,0.0001,-0.00034
328,6.56E-02,1,1,1,1,293.22,104.7,-87.977,1,1,293.22,104.7,-87.977,0.0001,-0.00034
329,6.58E-02,1,1,1,1,312.49,111.8,-94.036,1,1,312.49,111.8,-94.036,0.0001,-0.00034
330,6.60E-02,1,1,1,1,330.48,118.42,-99.592,1,1,330.48,118.42,-99.592,0.0001,-0.00034
331,6.62E-02,1,1,1,1,346.67,124.25,-104.68,1,1,346.67,124.25,-104.68,0.0001,-0.00034
332,6.64E-02,1,1,1,1,365.82,131.07,-110.68,1,1,365.82,131.07,-110.68,0.0001,-0.00034
333,6.66E-02,1,1,1,1,397.46,142.46,-120.21,1,1,397.46,142.46,-120.21,0.0001,-0.00034
334,6.68E-02,1,1,1,1,439.26,157.51,-132.68,1,1,439.26,157.51,-132.68,0.0001,-0.00034
335,6.70E-02,1,1,1,1,485.32,173.92,-146.48,1,1,485.32,173.92,-146.48,0.0001,-0.00034
336,6.72E-02,1,1,1,1,537.21,192.3,-161.92,1,1,537.21,192.3,-161.92,0.0001,-0.00034
337,6.74E-02,1,1,1,1,590.11,211.05,-177.54,1,1,590.11,211.05,-177.54,0.0001,-0.00034
338,6.76E-02,1,1,1,1,631.39,225.7,-189.82,1,1,631.39,225.7,-189.82,0.0001,-0.00034
339,6.78E-02,1,1,1,1,658.37,235.36,-197.92,1,1,658.37,235.36,-197.92,0.0001,-0.00034
340,6.80E-02,1,1,1,1,673.57,240.89,-202.42,1,1,673.57,240.89,-202.42,0.0001,-0.00034
341,6.82E-02,1,1,1,1,672.34,240.48,-202.12,1,1,672.34,240.48,-202.12,0.0001,-0.00034
342,6.84E-02,1,1,1,1,654.98,234.24,-197.15,1,1,654.98,234.24,-197.15,0.0001,-0.00034
343,6.86E-02,1,1,1,1,631.74,226.02,-190.35,1,1,631.74,226.02,-190.35,0.0001,-0.00034
344,6.88E-02,1,1,1,1,607.05,217.4,-183.04,1,1,607.05,217.4,-183.04,0.0001,-0.00034
345,6.90E-02,1,1,1,1,581.38,208.36,-175.51,1,1,581.38,208.36,-175.51,0.0001,-0.00034
346,6.92E-02,1,1,1,1,563.02,201.8,-170.09,1,1,563.02,201.8,-170.09,0.0001,-0.00034
347,6.94E-02,1,1,1,1,556.54,199.41,-168.02,1,1,556.54,199.41,-168.02,0.0001,-0.00034
348,6.96E-02,1,1,1,1,555.1,198.76,-167.46,1,1,555.1,198.76,-167.46,0.0001,-0.00034
349,6.98E-02,1,1,1,1,555.21,198.71,-167.38,1,1,555.21,198.71,-167.38,0.0001,-0.00034
350,7.00E-02,1,1,1,1,557.44,199.49,-167.8,1,1,557.44,199.49,-167.8,0.0001,-0.00034
351,7.02E-02,1,1,1,1,553.69,198.08,-166.44,1,1,553.69,198.08,-166.44,0.0001,-0.00034
352,7.04E-02,1,1,1,1,535.83,191.53,-161.01,1,1,535.83,191.53,-161.01,0.0001,-0.00034
353,7.06E-02,1,1,1,1,505.72,180.66,-151.93,1,1,505.72,180.66,-151.93,0.0001,-0.00034
354,7.08E-02,1,1,1,1,463.53,165.65,-139.22,1,1,463.53,165.65,-139.22,0.0001,-0.00034
355,7.10E-02,1,1,1,1,406.28,145.31,-122.15,1,1,406.28,145.31,-122.15,0.0001,-0.00034
356,7.12E-02,1,1,1,1,340.75,122,-102.67,1,1,340.75,122,-102.67,0.0001,-0.00034
357,7.14E-02,1,1,1,1,276.67,99.155,-83.508,1,1,276.67,99.155,-83.508,0.0001,-0.00034
358,7.16E-02,1,1,1,1,215.05,77.124,-65.079,1,1,215.05,77.124,-65.079,0.0001,-0.00034
359,7.18E-02,1,1,1,1,158.29,56.815,-48.136,1,1,158.29,56.815,-48.136,0.0001,-0.00034
360,7.20E-02,1,1,1,1,113.71,40.926,-34.676,1,1,113.71,40.926,-34.676,0.0001,-0.00034
361,7.22E-02,1,1,1,1,80.187,28.956,-24.411,1,1,80.187,28.956,-24.411,0.0001,-0.00034
362,7.24E-02,1,1,1,1,51.086,18.399,-15.526,1,1,51.086,18.399,-15.526,0.0001,-0.00034
363,7.26E-02,1,1,1,1,25.586,9.0695,-7.6808,1,1,25.586,9.0695,-7.6808,0.0001,-0.00034
364,7.28E-02,1,1,1,1,0.7267,0.064008,0.056267,1,1,0.7267,0.064008,0.056267,0.0001,-0.00034
365,7.30E-02,1,1,1,1,-32.834,-11.971,10.286,1,1,-32.834,-11.971,10.286,0.0001,-0.00034
366,7.32E-02,1,1,1,1,-77.501,-27.938,23.717,1,1,-77.501,-27.938,23.717,0.0001,-0.00034
367,7.34E-02,1,1,1,1,-129.24,-46.408,39.291,1,1,-129.24,-46.408,39.291,0.0001,-0.00034
368,7.36E-02,1,1,1,1,-189.11,-67.81,57.237,1,1,-189.11,-67.81,57.237,0.0001,-0.00034
369,7.38E-02,1,1,1,1,-256.47,-91.892,77.287,1,1,-256.47,-91.892,77.287,0.0001,-0.00034
370,7.40E-02,1,1,1,1,-322.18,-115.27,96.88,1,1,-322.18,-115.27,96.88,0.0001,-0.00034
371,7.42E-02,1,1,1,1,-380.35,-135.9,114.31,1,1,-380.35,-135.9,114.31,0.0001,-0.00034
372,7.44E-02,1,1,1,1,-430.77,-153.88,129.38,1,1,-430.77,-153.88,129.38,0.0001,-0.00034
373,7.46E-02,1,1,1,1,-468.79,-167.56,140.78,1,1,-468.79,-167.56,140.78,0.0001,-0.00034
374,7.48E-02,1,1,1,1,-491.1,-175.63,147.63,1,1,-491.1,-175.63,147.63,0.0001,-0.00034
375,7.50E-02,1,1,1,1,-503.75,-180.23,151.61,1,1,-503.75,-180.23,151.61,0.0001,-0.00034
376,7.52E-02,1,1,1,1,-511.72,-183.15,154.13,1,1,-511.72,-183.15,154.13,0.0001,-0.00034
377,7.54E-02,1,1,1,1,-515.16,-184.43,155.36,1,1,-515.16,-184.43,155.36,0.0001,-0.00034
378,7.56E-02,1,1,1,1,-519.61,-186.11,156.89,1,1,-519.61,-186.11,156.89,0.0001,-0.00034
379,7.58E-02,1,1,1,1,-532.09,-190.69,160.65,1,1,-532.09,-190.69,160.65,0.0001,-0.00034
380,7.60E-02,1,1,1,1,-551.03,-197.48,166.3,1,1,-551.03,-197.48,166.3,0.0001,-0.00034
381,7.62E-02,1,1,1,1,-573.74,-205.47,173.1,1,1,-573.74,-205.47,173.1,0.0001,-0.00034
382,7.64E-02,1,1,1,1,-601.06,-215.1,181.15,1,1,-601.06,-215.1,181.15,0.0001,-0.00034
383,7.66E-02,1,1,1,1,-627.9,-224.64,189,1,1,-627.9,-224.64,189,0.0001,-0.00034
384,7.68E-02,1,1,1,1,-645.79,-231,194.27,1,1,-645.79,-231,194.27,0.0001,-0.00034
385,7.70E-02,1,1,1,1,-653.33,-233.66,196.47,1,1,-653.33,-233.66,196.47,0.0001,-0.00034
386,7.72E-02,1,1,1,1,-650.37,-232.57,195.51,1,1,-650.37,-232.57,195.51,0.0001,-0.00034
387,7.74E-02,1,1,1,1,-632.61,-226.2,190.22,1,1,-632.61,-226.2,190.22,0.0001,-0.00034
388,7.76E-02,1,1,1,1,-601.35,-215.05,180.98,1,1,-601.35,-215.05,180.98,0.0001,-0.00034
389,7.78E-02,1,1,1,1,-563.89,-201.8,169.84,1,1,-563.89,-201.8,169.84,0.0001,-0.00034
390,7.80E-02,1,1,1,1,-523.25,-187.42,157.73,1,1,-523.25,-187.42,157.73,0.0001,-0.00034
391,7.82E-02,1,1,1,1,-481.59,-172.55,145.37,1,1,-481.59,-172.55,145.37,0.0001,-0.00034
392,7.84E-02,1,1,1,1,-445.77,-159.71,134.66,1,1,-445.77,-159.71,134.66,0.0001,-0.00034
393,7.86E-02,1,1,1,1,-418.33,-149.88,126.33,1,1,-418.33,-149.88,126.33,0.0001,-0.00034
394,7.88E-02,1,1,1,1,-395.3,-141.62,119.32,1,1,-395.3,-141.62,119.32,0.0001,-0.00034
395,7.90E-02,1,1,1,1,-375.82,-134.6,113.35,1,1,-375.82,-134.6,113.35,0.0001,-0.00034
396,7.92E-02,1,1,1,1,-359.38,-128.63,108.19,1,1,-359.38,-128.63,108.19,0.0001,-0.00034
397,7.94E-02,1,1,1,1,-338.95,-121.19,101.86,1,1,-338.95,-121.19,101.86,0.0001,-0.00034
398,7.96E-02,1,1,1,1,-309.06,-110.37,92.797,1,1,-309.06,-110.37,92.797,0.0001,-0.00034
399,7.98E-02,1,1,1,1,-270.46,-96.558,81.125,1,1,-270.46,-96.558,81.125,0.0001,-0.00034
400,8.00E-02,1,1,1,1,-222.05,-79.33,66.541,1,1,-222.05,-79.33,66.541,0.0001,-0.00034
401,8.02E-02,1,1,1,1,-162.41,-58.053,48.718,1,1,-162.41,-58.053,48.718,0.0001,-0.00034
402,8.04E-02,1,1,1,1,-97.107,-34.72,29.23,1,1,-97.107,-34.72,29.23,0.0001,-0.00034
403,8.06E-02,1,1,1,1,-32.203,-11.558,9.7978,1,1,-32.203,-11.558,9.7978,0.0001,-0.00034
404,8.08E-02,1,1,1,1,31.076,11.005,-9.1268,1,1,31.076,11.005,-9.1268,0.0001,-0.00034
405,8.10E-02,1,1,1,1,88.882,31.618,-26.414,1,1,88.882,31.618,-26.414,0.0001,-0.00034
406,8.12E-02,1,1,1,1,135.53,48.269,-40.484,1,1,135.53,48.269,-40.484,0.0001,-0.00034
407,8.14E-02,1,1,1,1,172.23,61.455,-51.639,1,1,172.23,61.455,-51.639,0.0001,-0.00034
408,8.16E-02,1,1,1,1,202.89,72.566,-60.959,1,1,202.89,72.566,-60.959,0.0001,-0.00034
409,8.18E-02,1,1,1,1,228.03,81.668,-68.681,1,1,228.03,81.668,-68.681,0.0001,-0.00034
410,8.20E-02,1,1,1,1,251.06,89.94,-75.816,1,1,251.06,89.94,-75.816,0.0001,-0.00034
411,8.22E-02,1,1,1,1,278.68,99.857,-84.234,1,1,278.68,99.857,-84.234,0.0001,-0.00034
412,8.24E-02,1,1,1,1,312.31,111.95,-94.38,1,1,312.31,111.95,-94.38,0.0001,-0.00034
413,8.26E-02,1,1,1,1,350.61,125.67,-105.93,1,1,350.61,125.67,-105.93,0.0001,-0.00034
414,8.28E-02,1,1,1,1,395.26,141.62,-119.3,1,1,395.26,141.62,-119.3,0.0001,-0.00034
415,8.30E-02,1,1,1,1,444.72,159.23,-134.02,1,1,444.72,159.23,-134.02,0.0001,-0.00034
416,8.32E-02,1,1,1,1,491.99,176.01,-148.11,1,1,491.99,176.01,-148.11,0.0001,-0.00034
417,8.34E-02,1,1,1,1,533.21,190.66,-160.42,1,1,533.21,190.66,-160.42,0.0001,-0.00034
418,8.36E-02,1,1,1,1,567.17,202.82,-170.54,1,1,567.17,202.82,-170.54,0.0001,-0.00034
419,8.38E-02,1,1,1,1,589.67,210.9,-177.27,1,1,589.67,210.9,-177.27,0.0001,-0.00034
420,8.40E-02,1,1,1,1,598.82,214.17,-180.12,1,1,598.82,214.17,-180.12,0.0001,-0.00034
421,8.42E-02,1,1,1,1,598.64,214.13,-180.17,1,1,598.64,214.13,-180.17,0.0001,-0.00034
422,8.44E-02,1,1,1,1,591.75,211.75,-178.21,1,1,591.75,211.75,-178.21,0.0001,-0.00034
423,8.46E-02,1,1,1,1,579.28,207.39,-174.62,1,1,579.28,207.39,-174.62,0.0001,-0.00034
424,8.48E-02,1,1,1,1,566.73,202.99,-170.98,1,1,566.73,202.99,-170.98,0.0001,-0.00034
425,8.50E-02,1,1,1,1,559.07,200.3,-168.7,1,1,559.07,200.3,-168.7,0.0001,-0.00034
426,8.52E-02,1,1,1,1,555.4,198.95,-167.58,1,1,555.4,198.95,-167.58,0.0001,-0.00034
427,8.54E-02,1,1,1,1,554.94,198.69,-167.4,1,1,554.94,198.69,-167.4,0.0001,-0.00034
428,8.56E-02,1,1,1,1,558.2,199.81,-168.25,1,1,558.2,199.81,-168.25,0.0001,-0.00034
429,8.58E-02,1,1,1,1,560.93,200.76,-168.9,1,1,560.93,200.76,-168.9,0.0001,-0.00034
430,8.60E-02,1,1,1,1,557.55,199.47,-167.77,1,1,557.55,199.47,-167.77,0.0001,-0.00034
431,8.62E-02,1,1,1,1,546.82,195.54,-164.46,1,1,546.82,195.54,-164.46,0.0001,-0.00034
432,8.64E-02,1,1,1,1,527.08,188.44,-158.44,1,1,527.08,188.44,-158.44,0.0001,-0.00034
433,8.66E-02,1,1,1,1,494.99,176.97,-148.82,1,1,494.99,176.97,-148.82,0.0001,-0.00034
434,8.68E-02,1,1,1,1,452.34,161.79,-136.1,1,1,452.34,161.79,-136.1,0.0001,-0.00034
435,8.70E-02,1,1,1,1,404.17,144.66,-121.69,1,1,404.17,144.66,-121.69,0.0001,-0.00034
436,8.72E-02,1,1,1,1,352.52,126.24,-106.26,1,1,352.52,126.24,-106.26,0.0001,-0.00034
437,8.74E-02,1,1,1,1,300.14,107.51,-90.637,1,1,300.14,107.51,-90.637,0.0001,-0.00034
438,8.76E-02,1,1,1,1,252.55,90.514,-76.369,1,1,252.55,90.514,-76.369,0.0001,-0.00034
439,8.78E-02,1,1,1,1,211.56,75.891,-63.997,1,1,211.56,75.891,-63.997,0.0001,-0.00034
440,8.80E-02,1,1,1,1,175.44,62.953,-53.078,1,1,175.44,62.953,-53.078,0.0001,-0.00034
441,8.82E-02,1,1,1,1,144.36,51.75,-43.627,1,1,144.36,51.75,-43.627,0.0001,-0.00034
442,8.84E-02,1,1,1,1,117.02,41.864,-35.225,1,1,117.02,41.864,-35.225,0.0001,-0.00034
443,8.86E-02,1,1,1,1,87.802,31.315,-26.29,1,1,87.802,31.315,-26.29,0.0001,-0.00034
444,8.88E-02,1,1,1,1,53.227,18.893,-15.809,1,1,53.227,18.893,-15.809,0.0001,-0.00034
445,8.90E-02,1,1,1,1,13.294,4.6159,-3.7219,1,1,13.294,4.6159,-3.7219,0.0001,-0.00034
446,8.92E-02,1,1,1,1,-33.694,-12.176,10.436,1,1,-33.694,-12.176,10.436,0.0001,-0.00034
447,8.94E-02,1,1,1,1,-88.489,-31.784,26.836,1,1,-88.489,-31.784,26.836,0.0001,-0.00034
448,8.96E-02,1,1,1,1,-146.96,-52.673,44.322,1,1,-146.96,-52.673,44.322,0.0001,-0.00034
449,8.98E-02,1,1,1,1,-205.2,-73.417,61.763,1,1,-205.2,-73.417,61.763,0.0001,-0.00034
450,9.00E-02,1,1,1,1,-261.51,-93.471,78.597,1,1,-261.51,-93.471,78.597,0.0001,-0.00034
451,9.02E-02,1,1,1,1,-311.78,-111.42,93.637,1,1,-311.78,-111.42,93.637,0.0001,-0.00034
452,9.04E-02,1,1,1,1,-351.97,-125.8,105.75,1,1,-351.97,-125.8,105.75,0.0001,-0.00034
453,9.06E-02,1,1,1,1,-383.08,-136.99,115.17,1,1,-383.08,-136.99,115.17,0.0001,-0.00034
454,9.08E-02,1,1,1,1,-407.09,-145.64,122.47,1,1,-407.09,-145.64,122.47,0.0001,-0.00034
455,9.10E-02,1,1,1,1,-424.31,-151.85,127.78,1,1,-424.31,-151.85,127.78,0.0001,-0.00034
456,9.12E-02,1,1,1,1,-438.01,-156.79,132.06,1,1,-438.01,-156.79,132.06,0.0001,-0.00034
457,9.14E-02,1,1,1,1,-453.1,-162.27,136.69,1,1,-453.1,-162.27,136.69,0.0001,-0.00034
458,9.16E-02,1,1,1,1,-470.89,-168.71,142.09,1,1,-470.89,-168.71,142.09,0.0001,-0.00034
459,9.18E-02,1,1,1,1,-491.62,-176.12,148.35,1,1,-491.62,-176.12,148.35,0.0001,-0.00034
460,9.20E-02,1,1,1,1,-516.82,-185.08,155.88,1,1,-516.82,-185.08,155.88,0.0001,-0.00034
461,9.22E-02,1,1,1,1,-544.67,-194.97,164.14,1,1,-544.67,-194.97,164.14,0.0001,-0.00034
462,9.24E-02,1,1,1,1,-570.27,-204.06,171.74,1,1,-570.27,-204.06,171.74,0.0001,-0.00034
463,9.26E-02,1,1,1,1,-591.18,-211.49,177.94,1,1,-591.18,-211.49,177.94,0.0001,-0.00034
464,9.28E-02,1,1,1,1,-605.73,-216.68,182.22,1,1,-605.73,-216.68,182.22,0.0001,-0.00034
465,9.30E-02,1,1,1,1,-610.22,-218.26,183.53,1,1,-610.22,-218.26,183.53,0.0001,-0.00034
466,9.32E-02,1,1,1,1,-603.45,-215.81,181.55,1,1,-603.45,-215.81,181.55,0.0001,-0.00034
467,9.34E-02,1,1,1,1,-587.97,-210.31,176.96,1,1,-587.97,-210.31,176.96,0.0001,-0.00034
468,9.36E-02,1,1,1,1,-565.34,-202.31,170.23,1,1,-565.34,-202.31,170.23,0.0001,-0.00034
